timestamp,x,y
1778752223.80496,1685,483
1778752223.823375,1700,485
1778752223.838128,1696,481
1778752223.856887,1683,460
1778752223.871552,1670,442
1778752223.888684,1675,454
1778752223.904815,1677,463
1778752223.921571,1702,485
1778752223.936974,1690,469
1778752223.953561,1672,469
1778752223.96992,1682,468
1778752223.986321,1681,467
1778752224.002535,1670,448
1778752224.01936,1611,412
1778752224.03629,1611,402
1778752224.052755,1617,365
1778752224.070634,1601,370
1778752224.086741,1578,361
1778752224.103109,1591,355
1778752224.120074,1570,367
1778752224.135809,1589,378
1778752224.152703,1590,353
1778752224.169795,1566,330
1778752224.186008,1545,316
1778752224.202222,1553,329
1778752224.222753,1552,302
1778752224.237131,1536,306
1778752224.253729,1491,270
1778752224.269534,1492,274
1778752224.286498,1495,254
1778752224.30216,1471,230
1778752224.318587,1482,252
1778752224.334641,1462,246
1778752224.352892,1419,272
1778752224.371534,1397,263
1778752224.386807,1416,251
1778752224.40238,1436,224
1778752224.418987,1402,178
1778752224.438994,1407,194
1778752224.454318,1418,205
1778752224.471687,1417,224
1778752224.486513,1396,213
1778752224.503505,1418,244
1778752224.521331,1390,247
1778752224.535583,1361,238
1778752224.552426,1349,240
1778752224.568884,1346,238
1778752224.585613,1341,246
1778752224.601025,1319,226
1778752224.616333,1308,228
1778752224.634077,1299,212
1778752224.65473,1309,221
1778752224.670094,1311,224
1778752224.687843,1281,220
1778752224.703188,1269,208
1778752224.719225,1264,199
1778752224.735896,1273,203
1778752224.753519,1266,200
1778752224.769434,1237,192
1778752224.784686,1248,175
1778752224.800199,1261,178
1778752224.818032,1269,182
1778752224.832843,1299,198
1778752224.852478,1287,177
1778752224.869197,1313,155
1778752224.884892,1313,140
1778752224.902467,1257,106
1778752224.919644,1259,52
1778752224.934026,1247,31
1778752224.953553,1197,24
1778752224.96804,1116,9
1778752224.986598,1120,-6
1778752225.002159,1097,-18
1778752225.01841,1100,-26
1778752225.032911,1109,-30
1778752225.05167,1051,-40
1778752225.066806,1004,-60
1778752225.086446,1020,-10
1778752225.10158,990,-8
1778752225.120284,1012,12
1778752225.135253,1026,14
1778752225.152435,1026,15
1778752225.166736,1059,55
1778752225.183882,1102,62
1778752225.201795,1121,71
1778752225.217835,1106,53
1778752225.235698,1136,59
1778752225.252417,1115,48
1778752225.268929,1160,67
1778752225.283953,1166,44
1778752225.304987,1168,52
1778752225.320263,1228,93
1778752225.338023,1236,83
1778752225.356547,1253,94
1778752225.371319,1267,98
1778752225.392104,1334,123
1778752225.405677,1307,110
1778752225.424361,1381,121
1778752225.440905,1409,107
1778752225.459293,1392,110
1778752225.479084,1405,114
1778752225.496096,1422,110
1778752225.515042,1502,170
1778752225.529414,1531,172
1778752225.547836,1574,162
1778752225.562715,1576,163
1778752225.580181,1605,169
1778752225.596583,1616,155
1778752225.613656,1631,176
1778752225.629138,1624,193
1778752225.646177,1621,191
1778752225.661611,1608,201
1778752225.68018,1603,211
1778752225.694001,1589,220
1778752225.711452,1611,199
1778752225.728037,1594,166
1778752225.744553,1587,148
1778752225.762515,1589,154
1778752225.776846,1599,155
1778752225.794517,1512,153
1778752225.809098,1481,166
1778752225.826683,1460,184
1778752225.843813,1483,230
1778752225.859074,1437,279
1778752225.876054,1343,293
1778752225.892378,1347,264
1778752225.909846,1338,266
1778752225.923786,1329,314
1778752225.945412,1324,314
1778752225.962929,1342,318
1778752225.980172,1307,298
1778752225.994792,1301,292
1778752226.013367,1354,318
1778752226.029346,1346,333
1778752226.046282,1280,336
1778752226.063819,1230,335
1778752226.080047,1279,350
1778752226.095426,1301,354
1778752226.113752,1338,353
1778752226.127586,1383,364
1778752226.144206,1369,331
1778752226.161151,1377,320
1778752226.176634,1405,327
1778752226.194404,1431,337
1778752226.209012,1436,343
1778752226.227643,1437,291
1778752226.243486,1457,245
1778752226.259874,1407,211
1778752226.276015,1415,228
1778752226.292931,1462,228
1778752226.309996,1512,244
1778752226.326951,1525,259
1778752226.342402,1481,241
1778752226.358065,1505,246
1778752226.377712,1523,263
1778752226.391951,1553,274
1778752226.41151,1585,278
1778752226.427899,1579,256
1778752226.443144,1579,273
1778752226.459388,1584,269
1778752226.476131,1595,272
1778752226.492823,1601,265
1778752226.510086,1583,266
1778752226.525085,1588,263
1778752226.539808,1544,309
1778752226.554725,1527,297
1778752226.573606,1566,292
1778752226.587929,1557,275
1778752226.609769,1535,282
1778752226.627713,1517,282
1778752226.644564,1543,299
1778752226.660202,1532,293
1778752226.678115,1517,292
1778752226.692828,1520,297
1778752226.710105,1564,294
1778752226.725208,1546,282
1778752226.744583,1560,286
1778752226.759018,1564,285
1778752226.777795,1525,272
1778752226.793388,1503,267
1778752226.811329,1519,259
1778752226.824939,1502,240
1778752226.842483,1504,252
1778752226.856415,1491,239
1778752226.875059,1450,235
1778752226.889146,1466,234
1778752226.905685,1455,204
1778752226.921243,1456,165
1778752226.939648,1470,176
1778752226.953444,1456,165
1778752226.972974,1463,170
1778752226.987818,1485,182
1778752227.00329,1469,155
1778752227.021078,1471,176
1778752227.03689,1480,179
1778752227.05794,1454,184
1778752227.076093,1460,185
1778752227.093007,1436,148
1778752227.109761,1421,143
1778752227.125274,1424,136
1778752227.142359,1449,143
1778752227.156451,1426,112
1778752227.176027,1436,133
1778752227.190943,1424,101
1778752227.207584,1393,88
1778752227.22112,1397,102
1778752227.241218,1431,116
1778752227.254701,1424,114
1778752227.275978,1435,116
1778752227.290093,1391,83
1778752227.309083,1422,101
1778752227.322728,1397,82
1778752227.343306,1431,101
1778752227.356535,1429,70
1778752227.376602,1484,114
1778752227.393414,1420,130
1778752227.4101,1411,118
1778752227.424421,1406,114
1778752227.444039,1399,83
1778752227.460019,1407,76
1778752227.480328,1403,83
1778752227.495665,1411,92
1778752227.511466,1376,49
1778752227.526081,1385,63
1778752227.543645,1391,55
1778752227.561129,1401,45
1778752227.577862,1388,42
1778752227.593124,1420,78
1778752227.610288,1393,65
1778752227.624576,1398,62
1778752227.646339,1415,51
1778752227.661154,1401,47
1778752227.680155,1397,47
1778752227.695519,1420,44
1778752227.713624,1359,24
1778752227.728949,1372,40
1778752227.74519,1350,36
1778752227.764352,1340,32
1778752227.778823,1354,56
1778752227.79636,1364,77
1778752227.812277,1363,94
1778752227.829098,1301,122
1778752227.843794,1298,144
1778752227.860213,1313,156
1778752227.878146,1313,156
1778752227.893525,1303,153
